date,002472_shares,002472_close,002472_value,002472_ma20,002472_above_ma20,002472_consecutive_below,603728_shares,603728_close,603728_value,603728_ma20,603728_above_ma20,603728_consecutive_below,002747_shares,002747_close,002747_value,002747_ma20,002747_above_ma20,002747_consecutive_below,300024_shares,300024_close,300024_value,300024_ma20,300024_above_ma20,300024_consecutive_below,002698_shares,002698_close,002698_value,002698_ma20,002698_above_ma20,002698_consecutive_below,603486_shares,603486_close,603486_value,603486_ma20,603486_above_ma20,603486_consecutive_below,cash,equity_value,equity_weight,portfolio_value,profit,roi,peak_value,drawdown,cumulative_commission,cumulative_slippage,actions
2026-08-06,100,39.14000000,3914.00000000,38.57750000,True,False,100,52.17000000,5217.00000000,50.90500000,True,False,100,34.81000000,3481.00000000,34.30550000,True,False,300,15.67000000,4701.00000000,15.34250000,True,False,300,12.92000000,3876.00000000,12.66550000,True,False,100,58.40000000,5840.00000000,56.21200000,True,False,22927.48550000,27029.00000000,0.54105087,49956.48550000,-43.51450000,-0.00087029,50000.00000000,-0.00087029,30.00000000,13.51450000,按初始计划建仓
2026-08-07,100,39.28000000,3928.00000000,38.36400000,True,False,100,52.95000000,5295.00000000,50.53450000,True,False,100,35.13000000,3513.00000000,33.92300000,True,False,300,15.79000000,4737.00000000,15.31550000,True,False,300,13.68000000,4104.00000000,12.72500000,True,False,100,57.92000000,5792.00000000,56.52400000,True,False,22927.48550000,27369.00000000,0.54415333,50296.48550000,296.48550000,0.00592971,50296.48550000,0.00000000,30.00000000,13.51450000,持有
2026-08-10,100,38.51000000,3851.00000000,38.18250000,True,False,100,51.72000000,5172.00000000,50.32600000,True,False,100,34.63000000,3463.00000000,33.72950000,True,False,300,15.78000000,4734.00000000,15.34950000,True,False,300,13.56000000,4068.00000000,12.81200000,True,False,100,58.97000000,5897.00000000,56.93000000,True,False,22927.48550000,27185.00000000,0.54247958,50112.48550000,112.48550000,0.00224971,50296.48550000,-0.00365831,30.00000000,13.51450000,持有
2026-08-11,100,39.10000000,3910.00000000,38.01800000,True,False,100,52.89000000,5289.00000000,50.18550000,True,False,100,36.12000000,3612.00000000,33.61550000,True,False,300,16.00000000,4800.00000000,15.38900000,True,False,300,13.05000000,3915.00000000,12.85700000,True,False,100,59.30000000,5930.00000000,57.36800000,True,False,22927.48550000,27456.00000000,0.54494046,50383.48550000,383.48550000,0.00766971,50383.48550000,0.00000000,30.00000000,13.51450000,持有
2026-08-12,100,38.74000000,3874.00000000,37.83550000,True,False,100,52.51000000,5251.00000000,50.08050000,True,False,100,34.71000000,3471.00000000,33.30600000,True,False,300,15.84000000,4752.00000000,15.42800000,True,False,300,13.93000000,4179.00000000,12.93900000,True,False,100,57.74000000,5774.00000000,57.59500000,True,False,22927.48550000,27301.00000000,0.54353620,50228.48550000,228.48550000,0.00456971,50383.48550000,-0.00307640,30.00000000,13.51450000,持有
2026-08-13,100,38.26000000,3826.00000000,37.67000000,True,False,100,52.08000000,5208.00000000,49.93450000,True,False,100,34.67000000,3467.00000000,32.91800000,True,False,300,15.46000000,4638.00000000,15.43600000,True,False,300,13.98000000,4194.00000000,12.99650000,True,False,100,56.07000000,5607.00000000,57.61550000,False,False,22927.48550000,26940.00000000,0.54023177,49867.48550000,-132.51450000,-0.00265029,50383.48550000,-0.01024145,30.00000000,13.51450000,持有
2026-08-14,100,37.89000000,3789.00000000,37.67450000,True,False,100,52.17000000,5217.00000000,50.06600000,True,False,100,34.75000000,3475.00000000,32.74600000,True,False,300,15.42000000,4626.00000000,15.44850000,False,False,300,12.72000000,3816.00000000,13.02350000,False,False,100,55.90000000,5590.00000000,57.74100000,False,False,22927.48550000,26513.00000000,0.53626092,49440.48550000,-559.51450000,-0.01119029,50383.48550000,-0.01871645,30.00000000,13.51450000,持有
2026-08-17,100,38.65000000,3865.00000000,37.79650000,True,False,100,53.50000000,5350.00000000,50.34800000,True,False,100,36.40000000,3640.00000000,32.84750000,True,False,300,15.65000000,4695.00000000,15.46200000,True,False,300,13.00000000,3900.00000000,13.07000000,False,False,100,58.22000000,5822.00000000,57.88700000,True,False,22927.48550000,27272.00000000,0.54327250,50199.48550000,199.48550000,0.00398971,50383.48550000,-0.00365199,30.00000000,13.51450000,持有
2026-08-18,100,39.91000000,3991.00000000,37.90850000,True,False,100,54.48000000,5448.00000000,50.57200000,True,False,100,40.04000000,4004.00000000,33.17800000,True,False,300,16.66000000,4998.00000000,15.50200000,True,False,300,12.70000000,3810.00000000,13.07950000,False,True,100,61.90000000,6190.00000000,58.16450000,True,False,22927.48550000,28441.00000000,0.55366631,51368.48550000,1368.48550000,0.02736971,51368.48550000,0.00000000,30.00000000,13.51450000,持有
2026-08-19,100,36.30000000,3630.00000000,37.87600000,False,False,100,49.03000000,4903.00000000,50.57050000,False,False,100,36.04000000,3604.00000000,33.33050000,True,False,300,15.25000000,4575.00000000,15.50450000,False,False,150,11.93000000,1789.50000000,13.08200000,False,True,100,60.70000000,6070.00000000,58.48300000,True,False,24808.54200000,24571.50000000,0.49759982,49380.04200000,-619.95800000,-0.01239916,51368.48550000,-0.03870940,35.00000000,14.45800000,002698连续3日跌破20日均线，减半
2026-08-20,100,35.92000000,3592.00000000,37.83850000,False,False,100,47.00000000,4700.00000000,50.50050000,False,False,100,32.77000000,3277.00000000,33.40350000,False,False,300,14.94000000,4482.00000000,15.48850000,False,False,75,11.93000000,894.75000000,13.07100000,False,True,100,61.50000000,6150.00000000,58.83100000,True,False,25704.59125000,23095.75000000,0.47327026,48800.34125000,-1199.65875000,-0.02399318,51368.48550000,-0.04999455,40.00000000,14.90875000,002698连续3日跌破20日均线，减半
2026-08-21,100,36.08000000,3608.00000000,37.87450000,False,True,100,47.40000000,4740.00000000,50.54750000,False,True,100,33.57000000,3357.00000000,33.58000000,False,False,300,14.88000000,4464.00000000,15.50250000,False,True,37,12.72000000,470.64000000,13.08700000,False,True,100,61.15000000,6115.00000000,59.22350000,True,False,26151.56515000,22754.64000000,0.46527102,48906.20515000,-1093.79485000,-0.02187590,51368.48550000,-0.04793368,45.00000000,15.13485000,002698连续3日跌破20日均线，减半
2026-08-24,50,35.23000000,1761.50000000,37.81800000,False,True,50,45.91000000,2295.50000000,50.43200000,False,True,100,30.82000000,3082.00000000,33.54350000,False,True,150,14.26000000,2139.00000000,15.47050000,False,True,18,12.37000000,222.66000000,13.06150000,False,True,100,55.05000000,5505.00000000,59.22850000,False,False,32751.12371500,15005.66000000,0.31421002,47756.78371500,-2243.21628500,-0.04486433,51368.48550000,-0.07030968,65.00000000,18.44628500,002472连续3日跌破20日均线，减半；603728连续3日跌破20日均线，减半；300024连续3日跌破20日均线，减半；002698连续3日跌破20日均线，减半
2026-08-25,25,35.70000000,892.50000000,37.82150000,False,True,25,46.84000000,1171.00000000,50.42350000,False,True,50,31.68000000,1584.00000000,33.61050000,False,True,75,14.45000000,1083.75000000,15.45050000,False,True,9,12.35000000,111.15000000,13.03500000,False,True,100,56.21000000,5621.00000000,59.13550000,False,False,37460.43537500,10463.40000000,0.21833394,47923.83537500,-2076.16462500,-0.04152329,51368.48550000,-0.06705765,90.00000000,20.81462500,002472连续3日跌破20日均线，减半；603728连续3日跌破20日均线，减半；002747连续3日跌破20日均线，减半；300024连续3日跌破20日均线，减半；002698连续3日跌破20日均线，减半
2026-08-26,12,35.60000000,427.20000000,37.79150000,False,True,12,47.51000000,570.12000000,50.42850000,False,True,25,31.25000000,781.25000000,33.62000000,False,True,37,14.46000000,535.02000000,15.41600000,False,True,4,12.19000000,48.76000000,12.97550000,False,True,100,53.78000000,5378.00000000,58.79100000,False,True,39913.42576000,7740.35000000,0.16242889,47653.77576000,-2346.22424000,-0.04692448,51368.48550000,-0.07231496,115.00000000,22.05424000,002472连续3日跌破20日均线，减半；603728连续3日跌破20日均线，减半；002747连续3日跌破20日均线，减半；300024连续3日跌破20日均线，减半；002698连续3日跌破20日均线，减半
2026-08-27,6,35.79000000,214.74000000,37.79650000,False,True,6,47.88000000,287.28000000,50.55900000,False,True,12,31.81000000,381.72000000,33.81300000,False,True,18,14.60000000,262.80000000,15.39650000,False,True,2,12.26000000,24.52000000,12.91750000,False,True,50,53.03000000,2651.50000000,58.36350000,False,True,43764.28436000,3822.56000000,0.08032808,47586.84436000,-2413.15564000,-0.04826311,51368.48550000,-0.07361792,145.00000000,23.99564000,002472连续3日跌破20日均线，减半；603728连续3日跌破20日均线，减半；002747连续3日跌破20日均线，减半；300024连续3日跌破20日均线，减半；002698连续3日跌破20日均线，减半；603486连续3日跌破20日均线，减半
2026-08-28,3,35.70000000,107.10000000,37.66050000,False,True,3,48.07000000,144.21000000,50.49050000,False,True,6,31.49000000,188.94000000,33.90050000,False,True,9,14.42000000,129.78000000,15.34900000,False,True,1,12.26000000,12.26000000,12.86050000,False,True,25,53.02000000,1325.50000000,57.98100000,False,True,45644.96854000,1907.79000000,0.04011944,47552.75854000,-2447.24146000,-0.04894483,51368.48550000,-0.07428148,175.00000000,24.95146000,002472连续3日跌破20日均线，减半；603728连续3日跌破20日均线，减半；002747连续3日跌破20日均线，减半；300024连续3日跌破20日均线，减半；002698连续3日跌破20日均线，减半；603486连续3日跌破20日均线，减半
2026-08-31,1,35.51000000,35.51000000,37.49350000,False,True,1,51.09000000,51.09000000,50.47500000,True,False,3,31.66000000,94.98000000,33.94600000,False,True,4,14.50000000,58.00000000,15.29400000,False,True,0,12.47000000,0.00000000,12.82000000,False,True,12,52.67000000,632.04000000,57.56900000,False,True,46645.30311500,871.62000000,0.01834336,47516.92311500,-2483.07688500,-0.04966154,51368.48550000,-0.07497909,205.00000000,25.46688500,002472连续3日跌破20日均线，减半；603728连续3日跌破20日均线，减半；002747连续3日跌破20日均线，减半；300024连续3日跌破20日均线，减半；002698连续3日跌破20日均线，减半；603486连续3日跌破20日均线，减半
